level,trait,group,total_gwas_snps,trait_snps,eqtls_in_catalog,trait_eqtls,pval,adj_pval,sim_count,sim_pval
0,Asparaginase hypersensitivity in acute lymphoblastic leukemia,Other,284391,42,2458,6,1.67E-06,0.002548055,4,0.021
0,Response to hepatitis B vaccine,Other,284391,21,2458,9,7.10E-14,1.09E-10,7,0.033
0,"gp41 C34 peptide, HIV levels",Other,284391,4,2458,3,2.56E-06,0.003921055,1,0.008
0,Serum levels of protein FTMT,Other,284391,4,2458,4,5.57E-09,8.52E-06,0,0.004
0,Pneumonia,Other,284391,95,2458,7,2.04E-05,0.031136951,4,0.021
0,Itch intensity from mosquito bite adjusted by bite size,Other,284391,262,2458,13,6.50E-07,0.000994418,2,0.012
0,BMI at 1.5 -2.5 years old interval,Other,284391,4,2458,3,2.56E-06,0.003921055,1,0.008
0,Ubiquitin carboxyl-terminal hydrolase 25 levels (USP25.9215.117.3),Other,284391,15,2458,6,1.94E-09,2.97E-06,7,0.033
0,Alzheimer's disease or gastroesophageal reflux disease and/or peptic ulcer disease,Other,284391,14,2458,4,5.20E-06,0.007955964,0,0.004
0,Rac GTPase-activating protein 1 levels (RACGAP1.13587.10.3),Other,284391,4,2458,3,2.56E-06,0.003921055,1,0.008
0,Depression (broad),Other,284391,111,2458,11,4.22E-09,6.46E-06,8,0.037
1,Tonsillectomy,Other,284391,205,7005,21,5.01E-08,0.000128824,6,0.029
